내용,Translated 내용
"증여,  상속을 자녀에게 결혼, 출산 주택자금으로 할시에는 무세율로 하면 좋을텐데.","If you are married to your child, you can get inheritance with your child, and you should be free."
"공사비는 땅값, 자재비, 인건비 인상으로 근래 30% 급등‼️ 공사해도 남는게 없어 건설회사가 재건축 입찰도 안하고 매우 어려운 상황‼️ 이미 재건축 진행돼서 조만간 입주 예정인 도심 한복판 알짜 보석단지는 <로또 매물>이니 무조건 올인‼️ 재건축 단지 얻기 어려우면 재건축 바로 옆에 붙어있는 주거단지 매입도 ‘신의 한 수’‼️ 재건축 단지 완성돼서 1,000세대 이상 대단지 입주 시작하면 이미 도로, 주변 시설 다 업그레이드 됐고, 이런 고품격 상권 같이 공유‼️ <부동산=입지 💯%>‼️ 저평가 된 곳은 키맞추기 상향 평준화👍","The construction cost is a 30% surge due to land prices, material costs, and labor costs.If it is difficult to obtain the reconstruction complex, the residential complex purchasing next to the reconstruction is also completed, and if the reconstruction complex has been completed, it has already been upgraded to the road and the surrounding facilities.Location>"
간단한건데 못하네 신규분양 10년 판매금지. 10년후 분양가의 상향 3%이내 그다음판매도 3%제한 그럼 해결되잖씀. 집을 사람 사는곳이지 남의돈 먹기 용도가 되는게 맞음?  근데 우리집은 왜 집값안올라감ㅋ,"It's simple, but it's not possible.After 10 years, the next sales are also restricted within 3%upward 3%.It's a place where people buy a house.But why doesn't my house go up?"
서점가는 사람은 집값올라 감사인사가는듯.. ㅋㅋ.  중국몽 집갑올린것 생각하면 끔찍..,"The bookstore seems to be grateful for the house price.If you think about raising Chinese dreams, it's terrible ..."
민주당은 이번 100만명의 신청자 자료를 반드시 확보해라!! 이건 부동산 정책이 왜곡되는 세력들의 흐름을 적나라하게 보여주는 자금흐름과 자본 투기꾼들의 실체를 보여주는 귀중한 자료다!! …,The Democratic Party must secure this one million applicants!This is a valuable resource that shows the flow of funds that show the flow of forces that are distorted by real estate policy and the reality of capital speculators!…
수도권 인구집중과 수능 교육부 지배를 해결않고는 출산률 문제해결은 불가능할 것이다.,It will not be possible to solve the birth rate problem without solving the concentration of the metropolitan area and the domination of the Ministry of Education.
대한민국을 만든것은 이승만대통렁이고 세계5위 경제를 이끈 일등공신은  박정희대통령이었고 부동산 폭등의 원인제공은 문가 때문이고 나라꼴을 시궁차므로 떨어 뜨린것은 찢이고 희망의 불씨를 밝힌것은  윤석열대통령이다  미래를 밝힐 햇불은 한동훈위원장이다,"It was Rhee Rhee, and the first -class official who led the world's fifth -largest economy was President Park Chung -hee, and the cause of the soaring real estate was due to the Gunga, and the country was kicked, and the drop of hope was torn.The Hardbull to reveal is Han Dong -hoon."
"신청자100만명의 세무조사와 데이터를 저장해서 이들의 자금흐름과 동선을 정밀하게 추적 조사한 데이터를 부동산 정책에 가감없이 활용하고,세무서에서도 활용해서 투기꾼들의 동향파악에 과학적으로 접근해야한다…이런 투기정보는 적극 활용해야하는데 윤석열정권이 관리와 활용이 될지 의문이네…이100만 신청자 자료를 민주당과 이재명은 반드시 확보하기바란다…어차피 다음 정권에서도 이 100만마리의 투기벌레들은 살아 숨쉬고있을거다.그밖에 조선족,중국인,외국인 투기세력과 이들 외국인과 결탁한 내국인 자료를반드시 확보해서 부동산정책에 쓰여져야 한다!!!!","By storing tax investigations and data of 1 million applicants, data that precisely followed their funds and movements should be used in real estate policy, and the tax office should be used to scientifically approach the trends of speculators.This speculation information should be actively used, but the Yoon Seok -yeol regime will be managed and utilized.Democrats and Lee Jae -myung must secure these 1 million applicants.Anyway, in the next regime, these 1 million speculative worms will be living in a lively, and it should be used in real estate policy by securing Korean data with Koreans, Chinese, foreign speculative forces and Koreans."
후분양제 찬성합니다 그리고 분양가 산정하고 매도 시 가격 상승을 제한하는(상승폭 제한 최대 기준금리 두배 상한선 적용) 법 제정도 고려하는건 어떤지요,It is also considering the enactment of the after -sale agent and the enactment of the law that restricts the sale price and restricts the price increase (the maximum limit on the increase).
건설사와 야합한 기자 나부랭이의 외침소리  이제 출생률 0.5이하로 나라 멸망을 앞에 둿는데 아직도 투기꾼 건설족 이익 나팔부냐? 어여 해봐라 ㄴ 이젠 더 낚일 사람도 없다 냐하하하,"The shout of the reporter Nabu Lang, who was united with the construction company, is now in front of the destruction of the country with a birth rate of less than 0.5.Oh, do you have any more people to catch now."
추첨은 공정한걸까?  공개청약만하고 당첨자는 정해진거 아닌가,Is the lottery fair?Is it just public subscription and winners?
어잌후 잘나셨네 미분양이나 쳐드세요. 안팔리면 가격내리던가 망하는게 장사의 기본인건 아시죠?   집단대출로 건설사 하나 망하면 연쇄부도로 나라경제 폭망하게 해놓고 협박질로 미분양 나랏돈으로 해결하게 하면서 이죽거리기는,"You're good after you.If you don't sell it, you know it's the basis for a business.If a construction company is destroyed by a group loan, it will make the country's economy with a serial road and solve it with unsold naraddon with intimidation."
"분양가 상한제같은 가격통제정챙은 공급 줄이고 각종 부작용 발생시킴,, 문재앙 김현미가 삼척동자도 아는 이걸 모르고 했을리 없고, 이런 정책으로 국민이 겪게 될 고통 다 일면서도 어쩌면 그걸 목적으로 했다고 생각 됨! 따라서 그들은 처벌받는 게 정의롭다고 본다,,,","Price control can be reduced and various side effects were reduced and various side effects were reduced, and Moon Jae -jae Kim Hyun -mi did not know this without knowing this, and it was thought that the people suffered from this policy and perhaps the purpose!Therefore, they believe it is just to be punished ,,,"
투기꾼들이 득실득실한 금수강산 역시 대한민국은 투기공화국이다,"Geumsu Gangsan, which speculators filled with speculators, is also a speculative republic."
와..잔여 물량 파느라고 엄청 띄우네요  속지마세요,Wow ... it's a lot of residue to sell it. Don't be fooled.
이익이 생기는데 사람들이 몰리는 건 자연스러운 자유.자본주의 특성중 하나 아닌가?동아가 이런걸 모른다면 유감이지.,It's natural to be a natural freedom.
분양가를 정부가 개입하지 않는 대신 미분양도 정부가 개입하지 마라. 시장경제를 외치는 놈들이 왜 은행 예적금금리까지 개입해서 찍어누르나? 이놈들은 투기꾼인가? 사기꾼인가?,"Instead of the government's involvement in the sale price, the government does not intervene in unsold pre -sale.Do guys shouting the market economy intervene in the bank's deposit interest rate?Are these guys speculators?Are you a scammer?"
청약제도 없애야 한다.,You must also get rid of the subscription system.
서울도 지역마다 차이는 있다.다만 전체적으로 급락하고있다는게 사실.3채때문에 전체가 올랐다.또는 지금이 적기인양 호도하는 기사는 자제해야한다.서민들 피빨아먹는 건설사.은행.언론사..이제는 청산하자,"There is a difference in each region in Seoul, but the fact that it is plunging overall."
로또보다 더 로또같은.. 당첨된 사람 진심 부럽다ㅠ,It's more like a lottery than the lottery.
생각이 있는지..  단순히 국민수가 감소하는것이 아니다. 35만~ 40만정도 목표설정하고 지원책을 찾아야한다.  지금아니면 할수없는것들이 있다.. 이제 해마다 학교부터 인원이 쭈욱 줄어들고 15년뒤에는 몰살의 가속화가 이뤄진다.,"Do you think ... It's not just a decrease in the number of people.350,000 to 400,000 goals should be set and supported.There are things that can't be done now. Now, every year, the number of people from school is reduced, and after 15 years, acceleration of killing is made."
출산문제는 하루아침에 해결 된 문제가 아닙니다.시간을 두고 천천히 하나씩 해결해야 하고 아닌건 아니라고 말할 수 있는 정치인이 되어야 한다는 것에 공감합니다,The problem of childbirth is not a problem solved overnight.
"아 시원하다.   꿈에서라도,  될려나는 모르겟지만.","Oh cool.Even in dreams, I don't know."
"이번엔 소액주주들의 말에 귀를 기울여주길 ..그래야만 지긋지긋한 코리아 디스카운트에서 벗어날수 있다...주식시장은 아직도 후진국보다 못한 상황이고, 정치권은 왜 이문제에 대해서 진정코 다루지 않는지 국민들에게 사죄해야 할것이다...이번엔 반드시 기필코 이루어지길 기대하며..이것이 안될시엔 한국증시는 희망이 없을 것이다","This time, I will listen to the words of small shareholders. So I can get out of the tired Korea Discount ... The stock market is still worse than in the backward country, and the political sphere should apologize to the people why it is not handled about this issue... This time, it is expected that it will be made."
정용진 사형 이마트 상장폐지,Yongjin Jeong's death penalty E -Mart abolition
가장 중요한 대주주의 장난치기 금지가 빠져있네......,The most important major shareholders are missing a mischief ...
"모두 다 한국의 미래를 위해,옳은 주장입니다.경영진과 이사들 정신 바짝 차려라.",All of them are the right argument for the future of Korea.
주기적으로 유상증자 때리는 기업은 그냥 자진 상패가 답운영도 안되는 기업이 소액 개미들 등쳐먹고,"A company that hits the capital increase periodically, just a company that does not operate a voluntary plaque, eats small ants."
국내증시 문제가 한 두가지냐.. 싹 갈아 엎어야 함,Is there one or two domestic stocks?
"밸류업 꺼져!PBR 0.15 배당 0.3% 자사주 24% 태광산업,
역대급 밸류다운 진행중,
상장회사가 대주주 개인만을 위한 회사인가?
대주주 횡령 고발 다수,
검찰은 기소 안하고 비호하나?","Value up!
In progress,
Is a listed company only for individual shareholders?
Many of the major shareholders' embezzlement,
Do you not prosecute the prosecution?"
적자 바이오회사들 특례상장도 없애야지 ㅎㅎㅎ,I should also get rid of the special listing of deficit bio companies ㅎㅎㅎ
북한식세습자본주의가 한국의 재벌임 1세대는 존중하나 2세3세는 다야몬드 수저라 인정못함,"North Korea's hereditary capitalism is a Korean chaebol's first generation, but 2 years old is Tayamond Suzhou."
3대 4대 세습하는 조직에 무슨 발전과 미래가 있을까?  일성정일정은  병철건희재용  ㅋㅋ   스티브 잡스 다음 팀 쿡  ㅋㅋ,What development and future are there for three -to -four hereditary organizations?Ilseongjeong schedule is Byung -cheol Kun Hee -yong ㅋㅋ Steve Jobs Next Tim Cook ㅋㅋ
"우리와 자식들이 편안한 은퇴 생활을 기대할 수 있는지는 코리아 디스카운트를 일으킨 상장사들의 주주가치 개선 의지에 달려 있다""고 말했다...ㅡ","""Whether we and children can expect a comfortable retirement depend on the willingness to improve the shareholders' value of listed companies who have caused Korea Discounts ..."""
"기업은 구인난, 고용 미스매치!!! 대학을 상업적으로 그렇게 많이 만들어 내어 고등학생들을 모두 대학생 타이틀을 붙여 대학생들을 받아줄 일자리 그 이상이상으로 찍어내어 사회에 내어놓고 있으니 그런 미스매치가 당연히 일어나는 것이 아닌가? 가관인 것은 이런 사익동아리들이 그런 문제의 핵심을 피해가며 무의사결정을 유도하는 짓거리를 하기 때문에 나라가 엉망이 되고 있다는 점이다.","Companies are job -in, employment mismatch !!!Isn't that mismatch happen because we're making so much university and putting all high school students with more than a job that will accept college students.The spectacle is that the country is messed up because these private clubs are doing something that avoids the core of such problems and induces non -decision -making."
어맛 ㅎㅎㅎ 북한도 저출산으로 망하게 생겼네? 경제 상황이 개박살이어서 우리나라보다는 먼저 망할 듯,"Oh, are North Korea ruined by low birth rates?The economic situation is open, so it seems to be ruined before Korea"
우리나라가 지금 북한걱정 할때임???,When our country is worried about North Korea ???
북한은 저출산 원인이 먹거리가 부족해서 일꺼 같은데.,North Korea seems to be because of the lack of food.
정년과 연금수급 연령이 같아야 한다는 것은 어느 나라나 아주 기본적인 상식이다! 상식적인 일을 국민을 얼마나 호구로 보았으면 아직까지 해결을 하지 않고 헛소리만 하고 있으니 ~,"It is a very basic common sense in any country to have the same age and pension age.If you have seen the common sense as a hogu, you don't solve it yet."
지방 아파트 집값 3억하던게 9억으로 폭등... 최저임금 6000원 이던게 갑자기 9000원으로 50% 폭등.. 다른거 다 떠나서 이 2가지만으로도 진짜 한 사람이 대한민국을 다 망쳐놨다.,"The price of local apartment houses soared to 900 million ... The minimum wage was 6,000 won suddenly soared 50% to 9000 won."
5년만에 나라를 망친 문재인 당신은 도대체...,Moon Jae -in who ruined the country in 5 years ...
"여성과 접촉 실수나 감정을 건드려 기분나쁘다고 해도 성추행이라는 개떡같은 법을 만들고 뭘 바라냐이전에는 술자리 게임을 하더라도 그런 문제로 시시비비 따지지 않았거늘...
이 사회가 서로를 건드리지 말아야 할 암묵적 적대상으로 만들었다","Even if you feel bad about contacting a woman with a woman, you can make a law of sexual harassment, and what do you want to do?
This society was made into an implicit object that should not touch each other."
집값 급등으로 주거환경 불안 및 영끌 휴유증이 큰 원인,Due to the surge in house prices
케이팝 한국드라마가 유행하는곳은 초토화될것,K -pop Korean dramas will be popular.
"친북좌파 문죄인과 민주당이 오년동안 열씨미 나라를 망친 결과입니다. 그래도 절라도는 민주당을 찍어줍니다. 좌파가 장기집권한 나라들은 망하거나 후진국으로 전락하였습니다. 그래도 좌파를 찍어주는 어리석은 궁민들이 많이 있고, 전과 4범을 쫓아다니는 정신나간 인간들이 있습니다. 아이는 낳지않고, 유모차에 개를 태우고다니는 개판이 되었습니다. 나라의 미래가 정말 걱정입니다.","This is the result of the pro -North Korean left -handed and Democrats ruining the United States for five years.Still, even though the temple is a Democratic Party.Countries with long -term ruling have fallen into ruined or backdrops.Still, there are many foolish people who take the left, and there are crazy humans chasing before and four.The child did not give birth, and it became a game that puts a dog on a stroller.I'm really worried about the future of the country."
"남자는 돈이 없고 여자는 돈많은남자가 없음 비혼율 역대 최고 30대.   70%미혼  
정책은 30%부모가고소득층 부부만 결혼 
30%결혼한부부가
아이를 3.5명 낳아야지 출산율 1.0명으로 끌어올림","Men don't have money and women don't have a lot of money.70%unmarried
Policy is only 30%of parents and parents.
30%married couple
You should have 3.5 children."
니들은 그래도 1.3명이나 되잖아 우리 따라올려면 한참멀었어 쯧쯧,You are still 1.3 people.
국민을 개.도ㅐ지로 알고.내로남불에 아빠찬스가  판치는 현실에서 누가 자식을 낳고 기르고 싶은지요.,Who wants to have children in the reality that the dad's chance is in the name of the people.
강제출산을 하던지  강제입대시키든지 뭐 대단한성별이라고  우대야 어이없노,"Whether you're forced to give birth or enlistment, it's a great star."
반도체에 이어 다시 한번 일본을 넘어서는군요. 선거 때마다 '반일' 내세우던 민주당은 참으로 기뻐할 듯. *출산률 통계를 보니 묘하게도 민주당 정권하에서는 하락속도가 매우 가파른 모습이더군. 과연 우연일까?https://n.news.naver.com/mnews/article/079/0003868504?sid1=001,"Following the semiconductor, it's beyond Japan.The Democratic Party, which was 'half -day' every election, is really happy.*The birth rate statistics, strangely, seemed to be very steep under the Democratic regime.Is it a coincidence? Https: //n.news.naver.com/mnews/article/079/0003868504? SID1 = 001"
물질만 쫒아가다 망하는거지 돈이면 안되는게 없는 대한민국 권력도 법도 돈아래지 돈에 미친 세상이야.,"It is a world where Korea's power is ruined by only materials, and there is nothing that should not be money."
병든사회라는 증거. 발전은 초고속으로 했지만 우리 사회는 병들었다.,"Evidence of a sick society.The development was high, but our society was sick."
인구 절벽이라고 하면서 외국인 수입에만 열올리니 잘될리가 있나? ㅋㅋㅋㅋ 다문화 조단위 세금이나 자국민에게 돌려봐라 ㅋㅋㅋㅋ,It is called a population cliff and only puts it on foreign income.ㅋ ㅋㅋㅋ Multi -Culture Group Taxes or their own people ㅋ ㅋㅋㅋ
너네도 우리 드라마 본다메. 그거 보면 이렇게 돼. 20년 기다려,"You're watching our drama.If you look at it, it's like this.Wait for 20 years"
문크예거 ㅋ ㅋ ㅋ,Moonk Jaeger haha
"이 주열  5%서  0.5%   1/10로  금리  낮춰,  망국매국노,  재벌총수일가계열사 수십개  건설사  거느리고  오세훈서울시장,구청장  담합  대로변까지 초고층아파트 지어  10여년  부동산투기결과가  빈부양극화,건보공단 정기석강도태 이사장책임커 건보료30조서  100조원으로  5-6년새 의사월급 3-4배로,총수일가  노다지아파트 해외은닉 분양수입금 수천조달해,  정몽규,허창수  등  아파트값 수천배,만배 담합인상해 종로2가 낙원상가 60년아파트 튼튼하게  잘 지어,  고물가에  매년 수십조대규모증세재정확대가 5만원감귤낳아","Lee Ju -yeol 5% Leading interest rate to 0.5% 1/10, with dozens of construction companies in Manguk -guk, the head of the conglomerate's family affiliates.Responsible for 30 trillion won, 3-4 times the monthly salary of 100 trillion won, 3-4 times the monthly salary of 5-6 years.The apartments are strongly built in the apartment, and the accuracy of several tens of trillions of trillions of scale"
부모 대접  제대로 못받는 세상인데 자식들 보고 얘 낳아라고 하겠어~~,"It's a world where parents can't get it right, but I will tell you to have children."
장시간의 근무시간도 원인이라는데 근무시간을 오히려 늘렸으니,"Long -term working hours are also caused, but I have increased working hours."
여자쪽이  학교 교사이거나    여자 의사인경우에는    여전히  애  2 명이상은  낳더라  .    내 친척도  의사 있는데  애  두명은  낳고 키우더라     여자쪽이  직업이 좋아야돼     요즘은      아니면    뭔가  특별한 매력적인 메리트가 있든지      남자 입장에선   결혼후   이익이 있어야 된단말이지       일본 여자랑  결혼하는  한국 남자들은   일본 여자 자체가 메리트다보니   바로 결혼하고  애 낳듯이   그런게 좀 있어야돼   한국 여자들한테도    너무 매력이 없어  정말로   한국여자는,"If the woman is a school teacher or a female doctor, you still have two or more kids.My relative is also a doctor, but two kids have two kids.It's a merit, so you have to get married and have a little bit like a child, so Korean women are so attractive."
일본 여자들처럼  상냥하지도 않고     귀여움이나 애교도 없고    그렇다고  요리를 잘하는것도 아니고  육아를 잘하는것도 아니고    모든것이 서툰   한국 여자와   결혼은   웬만한  상냥한 남자가 아니고서야 있을수가 없는일이지    얼굴이 엄청 이쁘든지    직업이 엄청 좋다든지   그런 여자 아니면   일반적으로  매력이 너무없어  한국 여자들은  .   남자는  이익을 많이 따지는데    이익이 없잖아  한국 여자랑  출산 자체가,"It's not as kind as Japanese women, no cuteness or aegyo, it's not good at cooking, it's not good for parenting, and everything is not good for a Korean woman.Whether it's such a woman or in general, Korean women are so attractive.Men are a lot of profits, but they have no profits."
한국은 남자들이 왕자병으로 자라서 결혼하면 마누라는 자동으로 엄마노릇 및 시녀노릇해야되는데 왜 애를 낳겠냐...집안일은 물론이고 본인관리하는거까지 늘  여자가 뒤치닥꺼리 해야된다는듯이 마무리를 제대로 안하는것들이 한남임... 내 아들이면 확 줘패서 길들일텐데 다큰남자 때리지도 못하고,"In Korea, when men grow up as a prince's disease and get married, their wife should be a mother and a maid. Why do you have a child?Hannam ... If you are my son, it will be tamed because it will be given up."
젊은세대의 미래는 망해가는데도 오로지 늙어 죽을때까지 지들만 걱정해서 의대증원만 외치는 기성세대들. 끝까지 이기적이라고 밖에 할수없다,"The future of the younger generation is ruined, but only the older generations are worried about the reinforcement of medical school until they are old and old.It can only be selfish until the end"
아이 하나면 21평. 둘이면 28평 셋이면 31평 아파트 무상제공 해줘야 합니다,"One child is 21 pyeong.If you have two sets of 28 pyeong, you must provide free 31 pyeong apartments."
"아이를 키우면서 간접적 죄인이 되었습니다.조심한다지만 통제가 안되는 애들 혼내는것도 한계가 있고, 혼내다 보면 제 목소리가 오히려
층간소음을 유발하는것같아 아랫층에 미안하고,
아빠차는 크다보니 주차 할때마다 좁아진것에 미안하고, 어쩌다 카페라도 가면 애들 때문에 미안하고,
가급적 식당과 카페는 가지말자 면서도, 먼길 떠나거나, 여행가면 어쩔수 없어서 미안하고....
경력단전 된 와이프에게도 미안하고....
외벌이라서 커져가는 사교육비를 어찌 감당할까도 걱정되고....그래도 해맑게 웃어주는 애들 볼때면 세상 근심 잠시 놓습니다.","I became an indirect sinner while raising a child. There is a limit to confusing kids who are careful but not controlled.
Sorry to the lower floor because it seems to cause noise between floors,
Dad's car is big, so I'm sorry for the narrower every time I park, and I'm sorry because of the kids if I go to the cafe.
Let's not go to the restaurant and the cafe as much as possible, but I'm sorry because I can't help it if I go on a long way or travel ....
I'm sorry for my career wife ....
I'm worried about how to deal with the growing private tutoring costs."
애낳는 친구들 보면 고맙다. 내 노년을 책임져줄 아가들ㅎㅎㅎㅎㅎ,Thank you for your friends.Baby girls who will be responsible for my old age
"유아. 어린이 사교육 전부 없애 평등화하고 국가가 무상교육, 돌봄 책임줘져야  합니다.",child.All of the children's private education should be eliminated and equalized and the state should be responsible for free education and care.
윤재앙,Yoonjae
서울인데 진짜 임산부가 없긴 해요...,"It's Seoul, but there's no real pregnant woman ..."
정부는 돈을 어디에쓰고있는건가요?? 인구가없네요,Where is the government spending money?There is no population
문재앙을 뛰어 넘는 윤재앙~~~ 과학적이고 다른차원의 실증적인 출산지원을 공언 했는데... 뭡니까 이게~~~ 수령님 나빠여~~~,Yoonjae -jae that goes beyond the Moonjaeang ~~~ I professed a scientific and other empirical childbirth support ...
ㅋㅋㅋㅋ 대한민국 섭종이 코앞이네~,ㅋ ㅋㅋㅋ The Korean Seopjong is in front of the nose ~
"지방에 수만명 의사 늘려봤자 시설비 5억들여 일년에 20명 받으려고 어떤 멍청한 의사가 지방에 산부인과를 개업하겠냐?전통적 우파로 자신을 지지했던 의사를 망해보라고 재물로 삼아 좌파들 선심을 얻어 선거에 이겨 보려 했던 비열하고 멍청한 윤석렬.선거참패가 죄값이다,싸고 당일 의사 진료를 받을수 있는 세계가 부러워하는 의료시스템을 한순간에 무너뜨린 트로이 목마 윤석렬, 유튜브 보니 미국서 감기가 걸려 동내병원에 들러 의사 진료받는데,위장보호약도 안주고 항생제약값 포함 총26만원 들었단다,호주캐나다등은 진료받으려면 수주일을 기다려야 한다","If you have increased tens of thousands of doctors in the provinces, 500 million facility costs will be a stupid doctor to get 20 people a year to get a gynecologist in the province.Despicable and stupid Yoon Seok -ryul. Election is a sin, and a cheap and doctor's doctor's medical system is envious of Trojan Yun Seok -ryul and YouTube, and a cold in the United States, a cold in the United States.I didn't give me medicine and I spent 260,000 won including antibiotics."
이미 2000년대부터 출산율은 작살나고 있었는데 집값 올리겠다고 그걸 20년동안 방치했는데도 아직도 집값이 더 올라야한다고 생각하니 출산율도 0.7에서 멈추지 않고 더 떨어지는 거지,"Since the 2000s, the birth rate has been harassed, but I have left it for 20 years to raise the price of the house, but I still think that the house price should be higher."
"당연한 결과~!!!
  K팝? 참 ~!!!

    없는 사람돈 악착같이 뜯어낸 혈세로~!!!

    갖출거 다 갖추고~!!! 

    지들 자식들에게 물려주겠다~!!!

    참 X같은 상황이구만~!!!","Naturally the result ~ !!!
K -pop?Oh ~ !!!

The blood torn off like a bad guy ~ !!!

Have it all ~ !!!

I will pass it to the children ~ !!!

It's like a true X ~ !!!"
물가방치히고 기득권들끼리 헤처먹다가 한방에 맛가는 수순,The procedure that tastes in one shot after hitting the water and the vested interests
삼십년전에는 허무맹랑한 것으로 치부된 허경영 공약을 이젠 진지하게 국민의견 묻는 시대가 도래했네요.,"Thirty years ago, there was an era of seriously asking the public opinion of Hur Management's commitment, which was regarded as a vanity."
이 정도 츨산률이면 몇십년뒤에 집들이 남아 돌겠군! 기본적으로 인구가 곧 국력의 초석인데! 큰일이구만~~ 이래서 대통령 중임재를 해야한다 국가대계인 교육 보건 인구는 5년임기로 번갯불에 콩 봌아먹듯 하는게 아니다,"If it's this much, the houses will remain in a few decades!Basically, the population is the cornerstone of national power!It's a big deal ~~ That's why the president's education and health population, which is a national liver, is five years old, and it is not like eating beans in a lightning crum."
"중간의 표에는 국민의 힘 후보는 답변이 없다고 하고정부의 저감 목표조정에는국민의 힘후보들이 적절하다고 답변했다는데
기자가 조작한겁니까? 시민단체가 조작한겁니까?
앞뒤가 안맞는데요?","In the middle of the table, the candidate of the people said that there was no answer, and the government's strengths were appropriate for the government's reduction target adjustment.
Did the reporter manipulate it?Is it manipulated by a civic group?
Isn't it right back and forth?"
응 느그2중대 안뽑아 심상정아니였음 윤짜장 대통령 안됬어,"Yes, I didn't get the second company, but I wasn't Shim."
"협치하라고 선거하거 아니다개혁하라는 민심이다
섞을 어론인","I'm not going to election. It's a public sentiment to reform.
Antisl"
응원합니다,I cheer for you
정정당당한 선의의 경쟁자로서 국가를 위해 노력하는 정치를 보여주길 기대합니다,"As a fair competitor, I hope to show the politics of trying for the nation."
중임제하면 귄력연장하려고  더욱 치열한  싸움 대한민국 현정치는 내각제가  딱이다,"If you are a senior, the fierce fighting Korea, Korea, is perfect for the cabinet."
"천하람이 순천 버리고 비례로 빤스런 한 순간... 난 천하람 버리기로 했다.. 저 사람은 권력을 위해서라면 말 바꾸기를 포함해 어떤 짓이라도 할 사람으로 보인다... 대통령이 국정위기 돌파를 위해 개헌해야한다? 개헌이 그케 가벼운 일인지.. 천하람 보면 볼수록 너무 가볍고, 즉흥적이고, 무계회적인 발언에 실망스럽다... 지난번엔 남성 섹스권을 보호해야한다고 하지 않았나?","Cheonharam throws away Suncheon and a proportional moment ... I decided to throw away the world. That person seems to be a person to do anything, including changing words for power.Should I am amendable?Is the amendment lighter? It's too lighter, improvised, and unexpected."
현실적으론 대통령 4년 중임제 선언보단 사임이 답입니다!,"In reality, the answer is to resign rather than the president of the four -year senior system!"
그래 대통령 4년 중임제 이 말은 공감한다!,"Yes, I agree with the president for four years!"
오 대구출신이었군요. 세대와 지역 장벽을 깰 인재로 기대합니다!!!,"Oh, I was from Daegu.I look forward to breaking generations and local barriers!"
대구출신이 왜 전라도 가서 전라도 출신이미지만 생김. 2030 여자 공무원 군대 보낸다면 인정이다.,"Why is Daegu from Jeolla -do and only get from Jeolla -do.2030 If you send a military army, it is recognized."
야동 천하람?,Born?
특검법도 야당의 양보 아니면 협치 못해. 2년동안 법안 나온거 몇개있냐? 전정권처럼 국회에서 모두 협의 하라고 해도 못해서 대통령이 정한다니까 그것도 안된다고 개판쳐놓고 그때보다 불통이면서 제왕적이었던 대통령이 운영한 개판정권이 개헌을 한다고? 허송세월에 1년 허비할껄? 그냥 탄핵하고 다음정권이 개헌하는게 더 편하겠다.,"The Special Prosecutor's Act is not a concession of the opposition party.How many bills have you been in the two years?Like the former regime, even if the National Assembly is not told to discuss it, the president is decided that it is not because the president decides, and the reformed regime operated by the president, who was more disgusting and more than that?Will you waste a year in the year?It would be more convenient to be impeached and the next regime was amendable."
"제3공화국 헌법으로 다시 돌아가고, 임기중 개헌 하는 놈은 반드시 새로운 대통령선거에 출마를 못하게 하는 한줄만 더 넣으면 된다!!! 4년만 하고 잘하면 한번더  하고 못하면 4년만 하게 만들자~~~","Go back to the Constitution of the Third Republic, and if you are a constitution during your term, you must put one more line that keeps you run for the new presidential election !!!If you do it for 4 years and if you can't do it once more, let's make it for 4 years ~~~"
도랐나,Have you been
4년 중임도 권력의 속성상 부작용이 많다. 단임제의 장점을 살려 6년 단임 분권형 국무총리 국회 복수 추천제로 개헌하는 것이 가장 합리적이일 것이다.,"Even for four years, there are many side effects due to the nature of power.It would be reasonable to make a six -year decentralized prime minister's revenge recommendation, taking advantage of the short -term system."
준석이 아류 주제에 이준석 키즈란 얘기는 듣기 싫은가보네ㅋㅋㅋ 분탕파들끼리 당 만들었으니 그 안에서 분탕질 원없이해봐라,I don't want to hear that Junseok is a Kids Lee Joon -seok on the theme.
근데 내가 8번째로 보는 대통령인데ᆢ대통령 권한이 너무나도 강해서 견제할수가 없다는 얘기를 반복하지 말고 대통령의 힘을 빼야한다. 외치는 대통령으로 하고 내치는 총리가 하는 이원집정부제가 괜찮아 보인다. 그리고 대통령제가 아닌 총리제였으면 윤석열은 벌써 아웃됐을거 같다. 그리고 5년 단임제는 짧은 기간동안 무리하게 성과를 내야하니깐 항상 실수가 많다. 좀 길게보고 미래를 설계할수 있게 4년 중임제 좋다. 국회의원들아~수십년동안 싸우지만 말고 개헌 좀 하자~!,"But I'm the eighth president, but I don't repeat the president's power because I can't check it.The dual government system, which is shouted as president and the prime minister, seems to be fine.And if it was a prime minister, not the presidential system, Yoon Seok -yeol would have already been out.And the five -year monitoring system has to be forced to achieve excessively for a short period of time, so there is always a lot of mistakes.It is good for four years to see the future for a long time.Members of the National Assembly ~ Don't fight for decades, let's do some amendment ~!"
"4년 중임제도 괜찬은 생각이다 지금은 5년뒤 바뀌면 모든게 다시 시작해야 되고 진행되던 일도 없든일이 된다 
4년하고 잘하면 4년 더 할수 있는게 좋다 그래야 정책이 이어지잔아","The four -year -old system is okay.
If you have 4 years and well, you can do it for 4 years."
